id,modelno,available,sale-price,call-pricing,price,wholesale-price,mss-map-price,remarketing,pbrand,code,finish,bulb,Voltage,pcolor,width,height,min-length,max-length,depth,diameter,Display-dimensions,weight,options,designer,mss-made-in,Mss-authorized-dealer-2010-part2,brand-link,designer-link,modelnos,shape,qualifications,related-items,Tags,Notes,Warranty,prioritization,product-categories,product-type-filters,collection-placement,expiration-date,mss-pdf1,mss-pdf-text1,mss-pdf2,mss-pdf-text2,mss-pdf3,mss-pdf-text3,mss-pdf4,mss-pdf-text4,mss-pdf5,mss-pdf-text5,mss-pdf6,mss-pdf-text6,mss-pdf7,mss-pdf-text7,mss-pdf8,mss-pdf-text8,mss-pdf9,mss-pdf-text9,mss-pdf10,mss-pdf-text10,mss-pdf11,mss-pdf-text11,mss-pdf12,mss-pdf-text12,mss-pdf13,mss-pdf-text13,mss-pdf14,mss-pdf-text14,mss-pdf15,mss-pdf-text15,mss-pdf16,mss-pdf-text16,mss-pdf17,mss-pdf-text17,mss-pdf18,mss-pdf-text18,image1,image2,image3,image4,image5,image6,image7,image8,image9,image10,image11,image12,image13,image14,Image15,Image16,Image17,Image18,Image19,Image20,Image21,Image22,Image23,Image24,Image25,image26,image27,image28,image29,image30,image31,image32,image33,image34,image35,image36,image37,image38,image39,image40,image41,image42,image43,image44,image45,image46,image47,image48,image49,image50,inset,color-image-1,color-text-1,color-image-2,color-text-2,color-image-3,color-text-3,color-image-4,color-text-4,color-image-5,color-text-5,color-image-6,color-text-6,color-image-7,color-text-7,color-image-8,color-text-8,color-image-9,color-text-9,color-image-10,color-text-10,color-image-11,color-text-11,color-image-12,color-text-12,color-image-13,color-text-13,color-image-14,color-text-14,color-image-15,color-text-15,color-image-16,color-text-16,color-image-17,color-text-17,color-image-18,color-text-18,color-image-19,color-text-19,color-image-20,color-text-20,color-image-21,color-text-21,color-image-22,color-text-22,color-image-23,color-text-23,color-image-24,color-text-24,color-image-25,color-text-25,color-image-26,color-text-26,color-image-27,color-text-27,color-image-28,color-text-28,color-image-29,color-text-29,color-image-30,color-text-30,color-image-31,color-text-31,color-image-32,color-text-32,color-image-33,color-text-33,color-image-34,color-text-34,color-image-35,color-text-35,color-image-36,color-text-36,color-image-37,color-text-37,color-image-38,color-text-38,color-image-39,color-text-39,color-image-40,color-text-40,color-image-41,color-text-41,color-image-42,color-text-42,color-image-43,color-text-43,color-image-44,color-text-44,color-image-45,color-text-45,color-image-46,color-text-46,color-image-47,color-text-47,color-image-48,color-text-48,color-image-49,color-text-49,color-image-50,color-text-50,name,caption,Custom-title,Custom-description,Custom-keyword,"Custom-headline
"
,,,,,"$3,320.00",,,,Modiss lighting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raisa 50 Floor Lamp,,,,,
,,,,,$625.00,,,,Joanthan adler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Many Mcdonald Spence Floor Lamp,,,,,
,,,,,"$2,155.50",,,,Rotaliana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lightwire F2 Floor Lamp,,,,,
,,,,,"$1,493.00",,,,Pallucco lighting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tube Floor Lamp,,,,,
,,,,,"$2,078.00",,,,Pallucco lighting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valzer Floor Lamp,,,,,
,,,,,"$1,250.00",,,,Joanthan adler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nixon Floor Lamp,,,,,
,,,,,"$1,566.00",,,,Rotaliana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ciminiere F3 D-Italia Floor Lamp,,,,,
,,,,,"$1,255.50",,,,Rotaliana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flow Floor Lamp,,,,,
,,,,,"$1,566.00",,,,Rotaliana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ciminiere F2 D-Italia Floor Lamp,,,,,
,,,,,"$1,566.00",,,,Rotaliana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ciminiere F1 D-Italia Floor Lamp,,,,,
,,,,,"$1,950.00",,,,Joanthan adler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buenos Aires Floor Lamp,,,,,
,,,,,"$1,165.50",,,,Rotaliana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bubble Floor Lamp,,,,,
,,,,,$450.00,,,,Joanthan adler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zara Table Lamp,,,,,
